Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.350,0.350
dwB (ppm),3.56,0.08
kexAB (s^-1),1141,39
R1 (s^-1),1.27,0.06
R2 (s^-1),18.09,0.09
Red. Chi-sq,0.16
