Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.350,0.350
dwB (ppm),3.04,0.06
kexAB (s^-1),1141,39
R1 (s^-1),1.52,0.05
R2 (s^-1),27.40,0.10
Red. Chi-sq,0.16
