Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),0.183,0.008
dwB (ppm),3.78,0.14
kexAB (s^-1),2508,212
R1 (s^-1),1.63,0.04
R2 (s^-1),42.05,0.14
Red. Chi-sq,0.45
