Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.28,0.03
kexAB (s^-1),1497,249
R1 (s^-1),1.57,0.07
R2 (s^-1),30.54,0.11
Red. Chi-sq,1.00
