Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.400,1.400
dwB (ppm),2.66,0.02
kexAB (s^-1),1299,20
R1 (s^-1),4.92,0.05
R2 (s^-1),11.79,0.08
Red. Chi-sq,0.52
