param,fitval,fiterror
pB,0.00400,0.00000
pC,0.00000,0.00000
dwB,2.79850,0.03077
dwC,-0.00000,0.00000
kexAB,293.00866,34.98823
kexAC,0.00000,0.00000
kexBC,0.00000,0.00000
R1,3.32848,0.00449
R2,18.32122,0.20391
rchi2,30.95013,0.0
