param,fitval,fiterror
pB,0.00400,0.00000
pC,0.00000,0.00000
dwB,-1.60875,0.07023
dwC,0.00000,0.00000
kexAB,293.00866,34.98823
kexAC,-0.00000,0.00000
kexBC,-0.00000,0.00000
R1,1.24214,0.00866
R2,4.72173,0.31276
rchi2,30.95013,0.0
