Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
0,0.512943871865,0.000830723486608,0.511278018669,0.00202532474219,-1000.0,9.9990191369,0.2
1,0.512834353264,0.000830723486608,0.510723653267,0.00202532474219,-922.2222,9.9990191369,0.2
2,0.513367699947,0.000830723486608,0.516080888083,0.00202532474219,-844.4445,9.9990191369,0.2
3,0.507680746254,0.000830723486608,0.508346550901,0.00202532474219,-766.6667,9.9990191369,0.2
4,0.515760488459,0.000830723486608,0.514355480484,0.00202532474219,-688.8889,9.9990191369,0.2
5,0.515244356082,0.000830723486608,0.513700266755,0.00202532474219,-611.1111,9.9990191369,0.2
6,0.514939247351,0.000830723486608,0.517058644804,0.00202532474219,-533.3333,9.9990191369,0.2
7,0.509472814852,0.000830723486608,0.508814744626,0.00202532474219,-455.5555,9.9990191369,0.2
8,0.51610952335,0.000830723486608,0.514433584295,0.00202532474219,-377.7778,9.9990191369,0.2
9,0.511896470395,0.000830723486608,0.514150264866,0.00202532474219,-300.0,9.9990191369,0.2
10,0.511485107845,0.000830723486608,0.51102774316,0.00202532474219,-300.0,9.9990191369,0.2
11,0.515092098515,0.000830723486608,0.514130009372,0.00202532474219,-290.6897,9.9990191369,0.2
12,0.512543490855,0.000830723486608,0.512288905139,0.00202532474219,-281.3793,9.9990191369,0.2
13,0.508918692283,0.000830723486608,0.509622818672,0.00202532474219,-272.069,9.9990191369,0.2
14,0.507620792982,0.000830723486608,0.506330957604,0.00202532474219,-262.7586,9.9990191369,0.2
15,0.507050940099,0.000830723486608,0.503033174379,0.00202532474219,-253.4483,9.9990191369,0.2
16,0.507970124671,0.000830723486608,0.509625994322,0.00202532474219,-244.1379,9.9990191369,0.2
17,0.506551131633,0.000830723486608,0.50322302672,0.00202532474219,-234.8276,9.9990191369,0.2
18,0.506056071941,0.000830723486608,0.50674507946,0.00202532474219,-225.5172,9.9990191369,0.2
19,0.507017995479,0.000830723486608,0.505927306809,0.00202532474219,-216.2069,9.9990191369,0.2
20,0.505658065318,0.000830723486608,0.506197751983,0.00202532474219,-206.8965,9.9990191369,0.2
21,0.510529713871,0.000830723486608,0.510755238105,0.00202532474219,-197.5862,9.9990191369,0.2
22,0.507373263136,0.000830723486608,0.511205751187,0.00202532474219,-188.2759,9.9990191369,0.2
23,0.505733155307,0.000830723486608,0.506382883764,0.00202532474219,-178.9655,9.9990191369,0.2
24,0.505059422992,0.000830723486608,0.508827103911,0.00202532474219,-169.6552,9.9990191369,0.2
25,0.501442341177,0.000830723486608,0.505222655942,0.00202532474219,-160.3448,9.9990191369,0.2
26,0.499521462084,0.000830723486608,0.498792652405,0.00202532474219,-151.0345,9.9990191369,0.2
27,0.501194811331,0.000830723486608,0.502010357767,0.00202532474219,-141.7241,9.9990191369,0.2
28,0.497519260236,0.000830723486608,0.498878051627,0.00202532474219,-132.4138,9.9990191369,0.2
29,0.5008531964,0.000830723486608,0.505225488278,0.00202532474219,-123.1034,9.9990191369,0.2
30,0.493634466285,0.000830723486608,0.489884440691,0.00202532474219,-113.7931,9.9990191369,0.2
31,0.494243199756,0.000830723486608,0.495418396108,0.00202532474219,-104.4828,9.9990191369,0.2
32,0.493035527161,0.000830723486608,0.490981498838,0.00202532474219,-95.17242,9.9990191369,0.2
