Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.300,2.300
dwB (ppm),3.12,0.02
kexAB (s^-1),2353,41
R1 (s^-1),1.18,0.12
R2 (s^-1),18.28,0.21
Red. Chi-sq,0.10
