Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.300,2.300
dwB (ppm),2.50,0.02
kexAB (s^-1),2353,41
R1 (s^-1),2.36,0.13
R2 (s^-1),26.10,0.24
Red. Chi-sq,0.10
