Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.063,0.004
dwB (ppm),4.12,4.12
kexAB (s^-1),2352,402
R1 (s^-1),2.17,0.03
R2 (s^-1),13.97,0.07
Red. Chi-sq,0.23
