Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.063,0.004
dwB (ppm),4.27,4.27
kexAB (s^-1),2352,402
R1 (s^-1),2.47,0.04
R2 (s^-1),20.06,0.08
Red. Chi-sq,0.23
