Fit #1
g10c1p Pars,Fit Value,Error
pB (%),1.100,1.100
dwB (ppm),3.79,0.06
kexAB (s^-1),2071,99
R1 (s^-1),0.97,0.19
R2 (s^-1),16.04,0.36
Red. Chi-sq,0.96
