Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.38,0.06
kexAB (s^-1),1706,140
R1 (s^-1),2.78,0.07
R2 (s^-1),28.43,0.22
Red. Chi-sq,0.31
