Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),2.50,0.08
kexAB (s^-1),3754,264
R1 (s^-1),3.01,0.07
R2 (s^-1),23.24,0.25
Red. Chi-sq,0.30
