Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.090,0.090
dwB (ppm),-1.00,10.95
kexAB (s^-1),3725,15483
R1 (s^-1),5.56,0.96
R2 (s^-1),32.46,1.90
Red. Chi-sq,8.98
