Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.090,0.090
dwB (ppm),6.27,6.72
kexAB (s^-1),3725,15483
R1 (s^-1),4.00,1.48
R2 (s^-1),36.15,4.43
Red. Chi-sq,8.98
