Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.498,0.038
dwB (ppm),2.88,0.12
kexAB (s^-1),3430,170
R1 (s^-1),1.93,0.06
R2 (s^-1),19.99,0.16
Red. Chi-sq,0.17
