Fit #1
ac1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.43,0.07
kexAB (s^-1),5487,412
R1 (s^-1),2.18,0.15
R2 (s^-1),15.79,0.63
Red. Chi-sq,0.70
