Fit #1
ac8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.29,0.08
kexAB (s^-1),5487,412
R1 (s^-1),2.01,0.17
R2 (s^-1),25.61,0.63
Red. Chi-sq,0.70
