Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),2.340,0.454
dwB (ppm),3.29,0.01
kexAB (s^-1),10,4
R1 (s^-1),2.73,0.03
R2 (s^-1),16.73,0.06
Red. Chi-sq,0.24
