Fit #1
ac8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.04,0.08
kexAB (s^-1),88,4
R1 (s^-1),1.23,0.16
R2 (s^-1),30.34,0.16
Red. Chi-sq,0.52
