Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),4.16,0.10
kexAB (s^-1),2463,174
R1 (s^-1),1.30,0.37
R2 (s^-1),20.13,0.67
Red. Chi-sq,0.86
