Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),3.71,0.02
kexAB (s^-1),197,3
R1 (s^-1),2.74,0.04
R2 (s^-1),20.29,0.08
Red. Chi-sq,0.41
