Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.00,0.06
kexAB (s^-1),4880,446
R1 (s^-1),3.25,0.09
R2 (s^-1),22.62,0.43
Red. Chi-sq,0.55
