Date : 7/10/2017	Time : 03:58:20	
C:\UVWINLAB\DNA41U1.SP	
13.00	0.5429
13.50	0.5440
14.00	0.5449
14.50	0.5454
15.00	0.5454
15.50	0.5451
16.00	0.5456
16.50	0.5465
17.00	0.5477
17.50	0.5478
18.00	0.5488
18.50	0.5498
19.00	0.5510
19.50	0.5526
20.00	0.5544
20.50	0.5560
21.00	0.5584
21.50	0.5604
22.00	0.5623
22.50	0.5649
23.00	0.5680
23.50	0.5706
24.00	0.5734
24.50	0.5768
25.00	0.5812
25.50	0.5845
26.00	0.5880
26.50	0.5927
27.00	0.5964
27.50	0.6002
28.00	0.6042
28.50	0.6081
29.00	0.6127
29.50	0.6165
30.00	0.6201
30.50	0.6239
31.00	0.6273
31.50	0.6305
32.00	0.6330
32.50	0.6358
33.00	0.6378
33.50	0.6402
34.00	0.6423
34.50	0.6440
35.00	0.6448
35.50	0.6466
36.00	0.6470
36.50	0.6483
37.00	0.6490
37.50	0.6499
38.00	0.6507
38.50	0.6510
39.00	0.6518
39.50	0.6518
40.00	0.6529
40.50	0.6532
41.00	0.6536
41.50	0.6538
42.00	0.6542
42.50	0.6547
43.00	0.6548
43.50	0.6554
44.00	0.6556
44.50	0.6566
45.00	0.6569
45.50	0.6571
46.00	0.6575
46.50	0.6579
47.00	0.6578
47.50	0.6584
48.00	0.6584
48.50	0.6590
49.00	0.6591
49.50	0.6595
50.00	0.6597
50.50	0.6602
51.00	0.6606
51.50	0.6610
52.00	0.6607
52.50	0.6613
53.00	0.6616
53.50	0.6619
54.00	0.6623
54.50	0.6624
55.00	0.6630
55.50	0.6631
56.00	0.6636
56.50	0.6637
57.00	0.6640
57.50	0.6645
58.00	0.6647
58.50	0.6651
59.00	0.6652
59.50	0.6654
60.00	0.6658
60.50	0.6662
61.00	0.6664
61.50	0.6671
62.00	0.6674
62.50	0.6678
63.00	0.6680
63.50	0.6684
64.00	0.6688
64.50	0.6692
65.00	0.6697
Date : 7/10/2017	Time : 05:05:25	


Date : 7/10/2017	Time : 05:05:25	
C:\UVWINLAB\DNA41D1.SP	
