Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),0.78,0.26
kexAB (s^-1),5319,2449
R1 (s^-1),1.73,0.08
R2 (s^-1),14.65,0.40
Red. Chi-sq,0.36
