Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-120.0,150.0,22.28735244,0.372693824,33.452994981227285,0.6112178713600002,21.86383700738838,32.75842967174423,0.4235154326116195,0.6945653094830533
-40.0,150.0,25.69400619,0.408639147,27.176884072358586,0.43769793078666663,25.676378982625618,27.15800337468203,0.017627207374381726,0.018880697676557645
-80.0,150.0,24.2145335,0.342802693,29.725217242056573,0.44031101456444444,24.12932601165666,29.615772957028902,0.08520748834334313,0.10944428502767067
0.0,150.0,25.085739,0.449127251,25.085739,0.449127251,25.242285336054902,25.242285336054902,-0.15654633605490176,-0.15654633605490176
-280.0,150.0,15.0595652,0.33379488,50.66546260819295,1.4968845951999998,15.379934551330383,52.10214116593675,-0.3203693513303829,-1.4366785577438037
-240.0,150.0,16.6400377,0.28790963,46.8454821305091,1.0249582828,16.580007560317288,46.63177483323865,0.06003013968271276,0.2137072972704459
-400.0,150.0,11.4173244,0.26265845,58.182042129191984,2.130451872222222,11.688268544006476,60.379700186133405,-0.27094414400647615,-2.197658056941421
-340.0,150.0,13.7022478,0.34185344,59.22918502778566,2.0982204472888886,13.621423400998136,58.73310282768978,0.08082439900186422,0.4960822000958842
80.0,150.0,17.9621697,0.32844064,21.694403294501015,0.4218637553777778,18.40615917013394,22.264683102806387,-0.4439894701339391,-0.5702798083053722
40.0,150.0,21.988678,0.60119274,23.208065877736367,0.6439442237333334,22.407021079420126,23.6561577983597,-0.4183430794201257,-0.4480919206233338
160.0,150.0,11.8407697,0.22636523,19.80491118911516,0.48391855835555553,11.899380380574575,19.93020779958792,-0.05861068057457608,-0.12529661047275908
120.0,150.0,14.4652491,0.26293875,20.62474550362728,0.43121955000000006,14.704181273863304,21.0165942687631,-0.23893217386330434,-0.3918487651358191
240.0,150.0,8.57496897,0.24570255,18.133837451709113,0.8747010779999997,8.594491501284661,18.203337663082504,-0.01952253128466097,-0.06950021137339135
200.0,150.0,9.72392478,0.24313944,18.404615998964665,0.6753873333333333,9.937106353647646,18.996787036874792,-0.21318157364764545,-0.592171037910127
400.0,150.0,6.26600092,0.2513916,16.39908501363643,2.0390652,6.219423983575541,16.021294307082485,0.046576936424458815,0.3777907065539452
280.0,150.0,7.58158045,0.32063964,17.130855440415175,1.4378906522666666,7.669536578978097,17.52528981436585,-0.08795612897809768,-0.3944343739506735
340.0,150.0,6.65756878,0.20859332,15.990510687252332,1.2802994440888888,6.771365954339885,16.688972455089576,-0.11379717433988468,-0.6984617678372445
-200.0,150.0,17.9606539,0.40240575,41.28441911007578,1.11779375,17.978895062715214,41.33508900650693,-0.018241162715213477,-0.05066989643114539
0.0,200.0,24.50559107,0.371249394,24.50559107,0.371249394,24.163697113024252,24.163697113024252,0.3418939569757491,0.3418939569757491
250.0,200.0,9.70123025,0.23195242,17.295283813543165,0.5943780762499999,9.877164426375014,17.746115140504138,-0.17593417637501396,-0.45083132696097294
200.0,200.0,11.5933396,0.35425952,18.345643230667626,0.7085190400000001,11.728896595861855,18.616757222391335,-0.13555699586185455,-0.2711139917237091
150.0,200.0,13.8871847,0.25273335,18.975643361000536,0.394895859375,14.329309590305893,19.666463502103493,-0.44212489030589275,-0.6908201411029573
100.0,200.0,17.3406182,0.31686692,20.465513757666905,0.3960836499999999,17.704105211127665,20.919872521576487,-0.36348701112766335,-0.45435876390958185
50.0,200.0,21.240071,0.36353058,22.265010689416727,0.38625124125,21.378663511999033,22.4122652334157,-0.13859251199903255,-0.1472545439989723
-600.0,200.0,7.78933346,0.22798135,34.324010876008614,2.279813499999999,7.783519820449118,34.26587448049979,0.005813639550882321,0.05813639550882499
-500.0,200.0,10.1548171,0.21757209,43.365949166672664,1.5773976525,10.099422744307873,42.964340087904745,0.05539435569212792,0.40160907876791896
-400.0,200.0,13.6141732,0.33776144,48.706722122670485,1.6888071999999998,13.590801346515159,48.58986285524628,0.023371853484841054,0.1168592674242035
350.0,200.0,7.74991649,0.23741882,16.658363084544597,0.9645139562499998,7.68922035484204,16.411785035465385,0.06069613515796046,0.24657804907921133
300.0,200.0,8.49449092,0.30919596,16.714764559002155,1.00488687,8.588045161921022,17.018815845245474,-0.09355424192102113,-0.30405128624331823
-200.0,200.0,20.9572433,0.52639213,37.07345063066763,1.0527842600000001,20.76185828416953,36.682680599006694,0.19538501583046752,0.39077003166093505
-250.0,200.0,19.0022535,0.36549151,41.12915589166816,0.936571994375,19.005382727329035,41.137174536698815,-0.0031292273290368655,-0.008018645030652749
