Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),4.874,1.149
dwB (ppm),0.82,0.17
kexAB (s^-1),7327,929
R1 (s^-1),1.88,0.04
R2 (s^-1),41.18,0.37
Red. Chi-sq,0.70
