Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.21,0.11
kexAB (s^-1),4987,643
R1 (s^-1),2.20,0.16
R2 (s^-1),16.39,0.57
Red. Chi-sq,1.31
