Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.18,0.11
kexAB (s^-1),4987,643
R1 (s^-1),2.42,0.14
R2 (s^-1),25.44,0.63
Red. Chi-sq,1.31
