Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.55,0.07
kexAB (s^-1),2950,713
R1 (s^-1),5.53,0.28
R2 (s^-1),12.62,0.75
Red. Chi-sq,39.89
