Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),2.93,0.07
kexAB (s^-1),2952,197
R1 (s^-1),2.91,0.07
R2 (s^-1),24.76,0.19
Red. Chi-sq,0.22
