Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),1.750,1.750
dwB (ppm),-0.56,0.02
kexAB (s^-1),377,47
R1 (s^-1),1.46,0.03
R2 (s^-1),7.96,0.04
Red. Chi-sq,0.15
