Date : 9/25/2019	Time : 18:18:39	
C:\UVWINLAB\DNA61U1.SP	
15.00	0.5860
15.20	0.5862
15.40	0.5860
15.60	0.5861
15.80	0.5862
16.00	0.5864
16.20	0.5866
16.40	0.5866
16.60	0.5867
16.80	0.5868
17.00	0.5868
17.20	0.5871
17.40	0.5872
17.60	0.5875
17.80	0.5875
18.00	0.5877
18.20	0.5877
18.40	0.5879
18.60	0.5881
18.80	0.5881
19.00	0.5884
19.20	0.5886
19.40	0.5886
19.60	0.5887
19.80	0.5891
20.00	0.5891
20.20	0.5894
20.40	0.5897
20.60	0.5898
20.80	0.5898
21.00	0.5901
21.20	0.5901
21.40	0.5903
21.60	0.5906
21.80	0.5907
22.00	0.5909
22.20	0.5912
22.40	0.5913
22.60	0.5916
22.80	0.5917
23.00	0.5919
23.20	0.5921
23.40	0.5923
23.60	0.5926
23.80	0.5928
24.00	0.5932
24.20	0.5933
24.40	0.5935
24.60	0.5937
24.80	0.5941
25.00	0.5942
25.20	0.5946
25.40	0.5948
25.60	0.5950
25.80	0.5952
26.00	0.5956
26.20	0.5958
26.40	0.5962
26.60	0.5964
26.80	0.5968
27.00	0.5970
27.20	0.5971
27.40	0.5978
27.60	0.5980
27.80	0.5982
28.00	0.5985
28.20	0.5989
28.40	0.5991
28.60	0.5993
28.80	0.5996
29.00	0.6001
29.20	0.6005
29.40	0.6009
29.60	0.6012
29.80	0.6016
30.00	0.6021
30.20	0.6024
30.40	0.6028
30.60	0.6031
30.80	0.6037
31.00	0.6039
31.20	0.6043
31.40	0.6047
31.60	0.6052
31.80	0.6057
32.00	0.6063
32.20	0.6067
32.50	0.6074
32.70	0.6079
33.00	0.6087
33.20	0.6090
33.50	0.6098
33.70	0.6106
34.00	0.6114
34.20	0.6120
34.50	0.6128
34.70	0.6136
35.00	0.6144
35.20	0.6150
35.50	0.6162
35.70	0.6165
36.00	0.6175
36.20	0.6183
36.50	0.6192
36.70	0.6201
37.00	0.6212
37.20	0.6219
37.50	0.6231
37.70	0.6241
38.00	0.6251
38.20	0.6260
38.50	0.6268
38.70	0.6276
39.00	0.6291
39.20	0.6299
39.50	0.6311
39.70	0.6317
40.00	0.6332
40.20	0.6341
40.50	0.6356
40.70	0.6356
41.00	0.6379
41.20	0.6387
41.50	0.6399
41.70	0.6407
42.00	0.6424
42.20	0.6433
42.50	0.6443
42.70	0.6443
43.00	0.6466
43.20	0.6474
43.50	0.6487
43.70	0.6493
44.00	0.6508
44.20	0.6514
44.50	0.6526
44.70	0.6526
45.00	0.6544
45.20	0.6550
45.50	0.6565
45.70	0.6570
46.00	0.6582
46.20	0.6587
46.50	0.6597
46.70	0.6597
47.00	0.6615
47.20	0.6620
47.50	0.6631
47.70	0.6640
48.00	0.6648
48.20	0.6651
48.50	0.6652
48.70	0.6652
49.00	0.6666
49.20	0.6671
49.50	0.6683
49.70	0.6688
50.00	0.6695
50.20	0.6699
50.50	0.6707
50.70	0.6707
51.00	0.6718
51.20	0.6720
51.50	0.6728
51.70	0.6731
52.00	0.6736
52.20	0.6740
52.50	0.6743
52.70	0.6743
53.00	0.6753
53.20	0.6758
53.50	0.6764
53.70	0.6766
54.00	0.6769
54.20	0.6774
54.50	0.6782
54.70	0.6782
55.00	0.6789
55.20	0.6788
55.50	0.6793
55.70	0.6794
56.00	0.6798
56.20	0.6802
56.50	0.6807
56.70	0.6807
57.00	0.6815
57.20	0.6816
57.50	0.6820
57.70	0.6823
58.00	0.6829
58.20	0.6830
58.50	0.6834
58.70	0.6834
59.00	0.6839
59.20	0.6841
59.50	0.6843
59.70	0.6845
60.00	0.6850
60.20	0.6853
60.50	0.6856
60.70	0.6856
61.00	0.6860
61.20	0.6862
61.50	0.6866
61.70	0.6868
62.00	0.6870
62.20	0.6872
62.50	0.6875
62.70	0.6875
63.00	0.6880
63.20	0.6883
63.50	0.6887
63.70	0.6887
64.00	0.6894
64.20	0.6895
64.40	0.6899
64.70	0.6900
64.90	0.6902
65.20	0.6906
65.40	0.6906
65.70	0.6908
65.90	0.6912
66.20	0.6915
66.40	0.6916
66.70	0.6919
66.90	0.6922
67.20	0.6923
67.40	0.6926
67.70	0.6928
67.90	0.6928
68.20	0.6932
68.40	0.6934
68.70	0.6937
68.90	0.6937
69.20	0.6941
69.40	0.6942
69.70	0.6945
69.90	0.6945
70.20	0.6950
70.40	0.6950
70.70	0.6953
70.90	0.6955
71.20	0.6956
71.40	0.6958
71.70	0.6960
71.90	0.6960
72.20	0.6961
72.40	0.6965
72.70	0.6967
72.90	0.6969
73.20	0.6969
73.40	0.6974
73.70	0.6973
73.90	0.6973
74.20	0.6977
74.40	0.6980
74.70	0.6980
