Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.37,0.44
kexAB (s^-1),2715,799
R1 (s^-1),5.42,0.42
R2 (s^-1),12.21,1.14
Red. Chi-sq,40.99
