Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),0.020,0.020
dwB (ppm),4.12,4.12
kexAB (s^-1),2919,1781
R1 (s^-1),2.39,0.05
R2 (s^-1),11.95,0.08
Red. Chi-sq,0.29
