Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),1.73,0.10
kexAB (s^-1),4041,406
R1 (s^-1),2.10,0.14
R2 (s^-1),16.61,0.40
Red. Chi-sq,1.05
