Fit #1
gc1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.10,0.10
kexAB (s^-1),5138,702
R1 (s^-1),3.58,0.13
R2 (s^-1),10.84,0.83
Red. Chi-sq,5.84
