Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.205,0.019
dwB (ppm),2.94,0.20
kexAB (s^-1),1484,199
R1 (s^-1),2.21,0.06
R2 (s^-1),13.34,0.12
Red. Chi-sq,0.21
