Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.28,0.11
kexAB (s^-1),6482,743
R1 (s^-1),1.98,0.32
R2 (s^-1),21.96,1.84
Red. Chi-sq,1.22
