Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.641,0.026
dwB (ppm),2.68,0.03
kexAB (s^-1),1894,36
R1 (s^-1),0.98,0.19
R2 (s^-1),29.74,0.29
Red. Chi-sq,0.17
