Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),2.77,0.23
kexAB (s^-1),1431,286
R1 (s^-1),4.58,0.05
R2 (s^-1),20.94,0.08
Red. Chi-sq,0.87
