Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.78,0.08
kexAB (s^-1),2394,243
R1 (s^-1),3.10,0.08
R2 (s^-1),27.90,0.34
Red. Chi-sq,0.61
