Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.87,0.85
kexAB (s^-1),3847,1961
R1 (s^-1),2.84,0.19
R2 (s^-1),25.49,0.60
Red. Chi-sq,1.38
