Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.46,2.70
kexAB (s^-1),4525,5847
R1 (s^-1),1.94,0.34
R2 (s^-1),22.27,1.10
Red. Chi-sq,2.48
