Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.14,3.21
kexAB (s^-1),4525,5847
R1 (s^-1),1.72,0.39
R2 (s^-1),30.93,1.12
Red. Chi-sq,2.48
