Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.52,0.27
kexAB (s^-1),3010,675
R1 (s^-1),2.78,0.14
R2 (s^-1),25.87,0.38
Red. Chi-sq,0.70
