Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.64,0.06
kexAB (s^-1),4092,662
R1 (s^-1),2.25,0.05
R2 (s^-1),21.96,0.21
Red. Chi-sq,0.24
