Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.27,4.27
kexAB (s^-1),1511,275
R1 (s^-1),2.59,0.04
R2 (s^-1),16.61,0.08
Red. Chi-sq,0.26
