Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.12,4.12
kexAB (s^-1),1511,275
R1 (s^-1),2.27,0.04
R2 (s^-1),11.80,0.08
Red. Chi-sq,0.26
