Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),0.63,0.06
kexAB (s^-1),1280,379
R1 (s^-1),1.52,0.07
R2 (s^-1),7.94,0.16
Red. Chi-sq,1.09
