Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.01,1.95
kexAB (s^-1),3337,2660
R1 (s^-1),3.31,0.40
R2 (s^-1),18.93,1.04
Red. Chi-sq,4.38
