Fit #1
G_C1p_Off_reduce_new_trunc Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.12,4.12
kexAB (s^-1),3295,750
R1 (s^-1),2.20,0.05
R2 (s^-1),14.17,0.08
Red. Chi-sq,0.26
