Date : 10/18/2019	Time : 17:49:01	
C:\UVWINLAB\DNA121U1.SP	
20.10	0.5705
20.30	0.5705
20.50	0.5707
20.70	0.5707
20.90	0.5707
21.10	0.5708
21.30	0.5707
21.50	0.5707
21.70	0.5708
21.90	0.5708
22.10	0.5708
22.30	0.5708
22.50	0.5709
22.70	0.5709
22.90	0.5712
23.10	0.5711
23.30	0.5710
23.50	0.5710
23.70	0.5711
23.90	0.5711
24.10	0.5713
24.30	0.5713
24.50	0.5715
24.70	0.5715
24.90	0.5716
25.10	0.5716
25.30	0.5718
25.50	0.5718
25.70	0.5720
25.90	0.5720
26.10	0.5721
26.30	0.5721
26.50	0.5723
26.70	0.5723
26.90	0.5723
27.10	0.5725
27.30	0.5725
27.50	0.5725
27.70	0.5726
27.90	0.5726
28.10	0.5728
28.30	0.5728
28.50	0.5731
28.70	0.5731
28.90	0.5733
29.10	0.5733
29.30	0.5732
29.50	0.5732
29.70	0.5736
29.90	0.5736
30.10	0.5737
30.30	0.5737
30.50	0.5739
30.70	0.5739
30.90	0.5742
31.10	0.5742
31.30	0.5744
31.50	0.5744
31.70	0.5746
31.90	0.5746
32.10	0.5750
32.40	0.5751
32.60	0.5752
32.90	0.5754
33.10	0.5754
33.40	0.5761
33.60	0.5762
33.90	0.5764
34.10	0.5766
34.40	0.5768
34.60	0.5770
34.90	0.5772
35.10	0.5772
35.40	0.5778
35.60	0.5781
35.90	0.5784
36.10	0.5787
36.40	0.5790
36.60	0.5793
36.90	0.5796
37.10	0.5796
37.40	0.5804
37.60	0.5806
37.90	0.5810
38.10	0.5814
38.40	0.5816
38.60	0.5820
38.90	0.5825
39.10	0.5825
39.40	0.5835
39.60	0.5838
39.90	0.5844
40.10	0.5846
40.40	0.5855
40.60	0.5860
40.90	0.5866
41.10	0.5866
41.40	0.5873
41.60	0.5883
41.90	0.5888
42.10	0.5892
42.40	0.5902
42.60	0.5906
42.90	0.5915
43.10	0.5915
43.40	0.5928
43.60	0.5934
43.90	0.5942
44.10	0.5950
44.40	0.5961
44.60	0.5965
44.90	0.5977
45.10	0.5977
45.40	0.5996
45.60	0.6002
45.90	0.6013
46.10	0.6022
46.40	0.6034
46.60	0.6041
46.90	0.6054
47.10	0.6054
47.40	0.6072
47.60	0.6082
47.90	0.6090
48.10	0.6102
48.40	0.6113
48.60	0.6123
48.90	0.6134
49.10	0.6134
49.40	0.6161
49.60	0.6168
49.90	0.6180
50.10	0.6185
50.40	0.6202
50.60	0.6211
50.90	0.6224
51.10	0.6224
51.40	0.6244
51.60	0.6252
51.90	0.6265
52.10	0.6273
52.40	0.6284
52.60	0.6290
52.90	0.6300
53.10	0.6300
53.40	0.6321
53.60	0.6325
53.90	0.6335
54.10	0.6343
54.40	0.6354
54.60	0.6364
54.90	0.6372
55.10	0.6372
55.40	0.6385
55.60	0.6392
55.90	0.6402
56.10	0.6405
56.40	0.6413
56.60	0.6416
56.90	0.6422
57.10	0.6422
57.40	0.6433
57.60	0.6439
57.90	0.6444
58.10	0.6450
58.40	0.6454
58.60	0.6459
58.90	0.6463
59.10	0.6463
59.40	0.6472
59.60	0.6476
59.90	0.6481
60.10	0.6483
60.40	0.6489
60.60	0.6491
60.90	0.6495
61.10	0.6495
61.40	0.6503
61.60	0.6505
61.90	0.6511
62.10	0.6513
62.40	0.6518
62.60	0.6521
62.90	0.6524
63.10	0.6524
63.40	0.6531
63.60	0.6535
63.90	0.6538
64.10	0.6540
64.30	0.6543
64.50	0.6546
64.70	0.6546
64.90	0.6552
65.20	0.6553
65.40	0.6556
65.70	0.6559
65.90	0.6561
66.20	0.6563
66.40	0.6569
66.70	0.6572
66.90	0.6575
67.20	0.6577
67.40	0.6579
67.70	0.6581
67.90	0.6581
68.20	0.6587
68.40	0.6591
68.70	0.6591
68.90	0.6595
69.20	0.6599
69.40	0.6601
69.70	0.6606
69.90	0.6606
70.20	0.6609
70.40	0.6613
70.70	0.6617
70.90	0.6616
71.20	0.6618
71.40	0.6624
71.70	0.6628
71.90	0.6628
72.20	0.6632
72.40	0.6636
72.70	0.6637
72.90	0.6639
73.20	0.6642
73.40	0.6644
73.70	0.6647
73.90	0.6647
74.20	0.6648
74.40	0.6648
74.70	0.6652
74.90	0.6655
75.20	0.6656
75.40	0.6657
75.70	0.6659
75.90	0.6659
76.20	0.6665
76.40	0.6667
76.70	0.6668
76.90	0.6670
77.20	0.6674
77.40	0.6672
77.70	0.6676
77.90	0.6676
78.20	0.6678
78.40	0.6681
78.70	0.6679
78.90	0.6682
79.20	0.6684
79.40	0.6685
79.70	0.6686
79.90	0.6686
