Date : 9/25/2019	Time : 19:51:34	
C:\UVWINLAB\DNA101U1.SP	
15.00	0.6371
15.20	0.6372
15.40	0.6373
15.60	0.6375
15.80	0.6376
16.00	0.6374
16.20	0.6379
16.40	0.6379
16.60	0.6380
16.80	0.6380
17.00	0.6384
17.20	0.6384
17.40	0.6385
17.60	0.6387
17.80	0.6387
18.00	0.6389
18.20	0.6390
18.40	0.6392
18.60	0.6393
18.80	0.6395
19.00	0.6396
19.20	0.6397
19.40	0.6400
19.60	0.6401
19.80	0.6402
20.00	0.6403
20.20	0.6406
20.40	0.6408
20.60	0.6409
20.80	0.6411
21.00	0.6412
21.20	0.6415
21.40	0.6415
21.60	0.6418
21.80	0.6421
22.00	0.6420
22.20	0.6422
22.40	0.6425
22.60	0.6427
22.80	0.6429
23.00	0.6432
23.20	0.6432
23.40	0.6435
23.60	0.6437
23.80	0.6439
24.00	0.6443
24.20	0.6445
24.40	0.6445
24.60	0.6449
24.80	0.6450
25.00	0.6453
25.20	0.6454
25.40	0.6456
25.60	0.6459
25.80	0.6461
26.00	0.6465
26.20	0.6465
26.40	0.6469
26.60	0.6472
26.80	0.6474
27.00	0.6476
27.20	0.6479
27.40	0.6482
27.60	0.6485
27.80	0.6490
28.00	0.6491
28.20	0.6494
28.40	0.6496
28.60	0.6500
28.80	0.6504
29.00	0.6506
29.20	0.6508
29.40	0.6513
29.60	0.6515
29.80	0.6519
30.00	0.6522
30.20	0.6525
30.40	0.6530
30.60	0.6532
30.80	0.6537
31.00	0.6542
31.20	0.6546
31.40	0.6549
31.60	0.6553
31.80	0.6558
32.00	0.6561
32.20	0.6566
32.50	0.6574
32.70	0.6577
33.00	0.6584
33.20	0.6586
33.50	0.6594
33.70	0.6601
34.00	0.6609
34.20	0.6612
34.50	0.6622
34.70	0.6628
35.00	0.6635
35.20	0.6641
35.50	0.6651
35.70	0.6655
36.00	0.6667
36.20	0.6669
36.50	0.6678
36.70	0.6683
37.00	0.6693
37.20	0.6700
37.50	0.6714
37.70	0.6720
38.00	0.6734
38.20	0.6739
38.50	0.6754
38.70	0.6760
39.00	0.6772
39.20	0.6781
39.50	0.6794
39.70	0.6800
40.00	0.6813
40.20	0.6824
40.50	0.6839
40.70	0.6839
41.00	0.6862
41.20	0.6874
41.50	0.6888
41.70	0.6900
42.00	0.6915
42.20	0.6924
42.50	0.6940
42.70	0.6940
43.00	0.6962
43.20	0.6977
43.50	0.6990
43.70	0.6999
44.00	0.7019
44.20	0.7029
44.50	0.7043
44.70	0.7043
45.00	0.7067
45.20	0.7076
45.50	0.7093
45.70	0.7103
46.00	0.7117
46.20	0.7128
46.50	0.7143
46.70	0.7143
47.00	0.7164
47.20	0.7172
47.50	0.7187
47.70	0.7196
48.00	0.7207
48.20	0.7213
48.50	0.7225
48.70	0.7225
49.00	0.7241
49.20	0.7247
49.50	0.7258
49.70	0.7265
50.00	0.7273
50.20	0.7279
50.50	0.7285
50.70	0.7285
51.00	0.7298
51.20	0.7304
51.50	0.7310
51.70	0.7315
52.00	0.7319
52.20	0.7323
52.50	0.7329
52.70	0.7329
53.00	0.7340
53.20	0.7341
53.50	0.7345
53.70	0.7357
54.00	0.7365
54.20	0.7361
54.50	0.7363
54.70	0.7363
55.00	0.7372
55.20	0.7371
55.50	0.7377
55.70	0.7380
56.00	0.7386
56.20	0.7386
56.50	0.7389
56.70	0.7389
57.00	0.7395
57.20	0.7399
57.50	0.7400
57.70	0.7407
58.00	0.7409
58.20	0.7413
58.50	0.7417
58.70	0.7417
59.00	0.7421
59.20	0.7424
59.50	0.7430
59.70	0.7431
60.00	0.7437
60.20	0.7445
60.50	0.7446
60.70	0.7446
61.00	0.7455
61.20	0.7461
61.50	0.7462
61.70	0.7463
62.00	0.7469
62.20	0.7472
62.50	0.7476
62.70	0.7476
63.00	0.7479
63.20	0.7484
63.50	0.7489
63.70	0.7491
64.00	0.7497
64.20	0.7498
64.40	0.7500
64.70	0.7504
64.90	0.7508
65.20	0.7514
65.40	0.7516
65.70	0.7520
65.90	0.7524
66.20	0.7526
66.40	0.7529
66.70	0.7533
66.90	0.7535
67.20	0.7540
67.40	0.7543
67.70	0.7545
67.90	0.7545
68.20	0.7554
68.40	0.7556
68.70	0.7559
68.90	0.7566
69.20	0.7566
69.40	0.7569
69.70	0.7574
69.90	0.7574
70.20	0.7583
70.40	0.7586
70.70	0.7589
70.90	0.7593
71.20	0.7597
71.40	0.7596
