Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.92,0.10
kexAB (s^-1),281,14
R1 (s^-1),1.46,0.04
R2 (s^-1),43.26,0.08
Red. Chi-sq,0.78
