Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.14,0.07
kexAB (s^-1),3774,189
R1 (s^-1),0.82,0.15
R2 (s^-1),25.96,0.44
Red. Chi-sq,0.22
