Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.51,0.11
kexAB (s^-1),5119,561
R1 (s^-1),1.88,0.05
R2 (s^-1),33.64,0.21
Red. Chi-sq,0.66
