Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.30,2.17
kexAB (s^-1),3886,4874
R1 (s^-1),3.03,0.25
R2 (s^-1),27.60,0.79
Red. Chi-sq,2.03
