Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.09,0.05
kexAB (s^-1),4072,192
R1 (s^-1),2.11,0.06
R2 (s^-1),19.48,0.19
Red. Chi-sq,0.22
