Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.80,0.06
kexAB (s^-1),4072,192
R1 (s^-1),2.40,0.08
R2 (s^-1),29.88,0.20
Red. Chi-sq,0.22
