Fit #1
ac1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.11,0.03
kexAB (s^-1),2960,116
R1 (s^-1),3.05,0.28
R2 (s^-1),15.27,0.62
Red. Chi-sq,0.67
