Fit #1
ac8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.77,0.04
kexAB (s^-1),2960,116
R1 (s^-1),3.51,0.31
R2 (s^-1),23.48,0.70
Red. Chi-sq,0.67
